N.,POKÉMON,SOURCE,SPAWN,RARITY,CONDITION,FORMS
#1,Bulbasaur,Cobblemon,All Jungle biomes,Ultra-Rare,,
#2,Ivysaur,Cobblemon,All Jungle biomes,Ultra-Rare,,
#3,Venusaur,Cobblemon,All Jungle biomes,Ultra-Rare,,
#4,Charmander,Cobblemon,"Stony Peaks, Windswep Hills, Basalt Deltas",Ultra-Rare,Weather Clear,
#5,Charmeleon,Cobblemon,"Stony Peaks, Windswep Hills, Basalt Deltas",Ultra-Rare,,
#6,Charizard,Cobblemon,"Stony Peaks, Windswep Hills, Basalt Deltas",Ultra-Rare,,
#7,Squirtle,Cobblemon,"All River biomes, Jungle, All Forest biomes, Cherry Grove",Ultra-Rare,Also by fishing,
#8,Wartortle,Cobblemon,"All River biomes, Jungle, All Forest biomes, Cherry Grove",Ultra-Rare,Also by fishing,
#9,Blastoise,Cobblemon,"All River biomes, Jungle, All Forest biomes, Cherry Grove",Ultra-Rare,Also by fishing,
#10,Caterpie,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest, Plains, Cherry Grove",Common,Day,Valencian form: All Jungle biomes
#11,Metapod,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest, Plains, Cherry Grove",Common,Day,Valencian form: All Jungle biomes
#12,Butterfree,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest, Plains, Cherry Grove",Common,Day,Valencian form: All Jungle biomes
#13,Weedle,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest Jungle, Cherry Grove",Common,Day,
#14,Kakuna,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest Jungle, Cherry Grove",Common,Day,
#15,Beedrill,Cobblemon,"Oak Forest, Birch Forest, Dark Oak Forest Jungle, Cherry Grove",Common,"Day, Weather clear",
#16,Pidgey,Cobblemon,"Flower Forest, Oak Forest, Birch Forest, Dark Oak Forest, Plains, Sunflower Plains",Common,Day,
#17,Pidgeotto,Cobblemon,"Flower Forest, Oak Forest, Birch Forest, Dark Oak Forest, Plains, Sunflower Plains",Common,Day,
#18,Pidgeot,Cobblemon,"Flower Forest, Oak Forest, Birch Forest, Dark Oak Forest, Plains, Sunflower Plains",Common,Day,
#19,Rattata,Cobblemon,"Plains, Plains, Savanna, Savanna Plateau, All Forest biomes except Dark Forest,",Common,Night,Alolan form is Uncommon and spawns in Dark Forest during the night
#20,Raticate,Cobblemon,"Plains, Savanna, Savanna Plateau, All Forest biomes except Dark Forest,",Common,Night,Alolan form is Uncommon and spawns in Dark Forest during the night
#21,Spearow,Cobblemon,"Badlands, Savanna",Common,Day,
#22,Fearow,Cobblemon,"Badlands, Savanna",Common,Day,
#23,Ekans,Cobblemon,"Desert, Savanna, Deep Dark",Common,Day,
#24,Arbok,Cobblemon,"Desert biomes, Savanna, Deep Dark",Common,,
#25,Pikachu,Cobblemon,"All Forest biomes except Dark Forest,",Uncommon,During a storm,"Alolan form spawns in Beach
Cosplay Belle: Sunflower Plains;
Cosplay Libre: Savanna;
Cosplay Phd: Jungle;
Cosplay Pop Star: Cherry Grove;
Cosplay Rock Star: Badlands"
#26,Raichu,Cobblemon,Forest biomes,Uncommon,During a storm,"Alolan form spawns in Jungle, Desert, Savanna"
#27,Sandshrew,Cobblemon,"Badlands, Desert",Common,,"Alolan form spawns in
Jagged Peaks,
Snowy Plains,
Snowy Slopes,
(ATM x MSD)"
#28,Sandslash,Cobblemon,"Badlands, Desert",Common,,"Alolan form spawns in
Jagged Peaks,
Snowy Plains,
Snowy Slopes,
(ATM x MSD)"
#29,Nidoran♀,Cobblemon,Savanna,Uncommon,,
#30,Nidorina,Cobblemon,Savanna,Uncommon,,
#31,Nidoqueen,Cobblemon,Savanna,Uncommon,,
#32,Nidoran♂,Cobblemon,Savanna,Uncommon,,
#33,Nidorino,Cobblemon,Savanna,Uncommon,,
#34,Nidoking,Cobblemon,Savanna,Uncommon,,
#35,Clefairy,Cobblemon,"Dripstone Caves, Hills biomes",Uncommon,Night,
#36,Clefable,Cobblemon,"Dripstone Caves, Hills biomes",Uncommon,Night,
#37,Vulpix,Cobblemon,"All Forest biomes, Cherry Grove, All Taiga biomes, Crimson Forest, Warped Forest",Uncommon,,"Alolan form spawns in Snowy Taiga, Grove"
#38,Ninetales,Cobblemon,"All Forest biomes, Cherry Grove, All Taiga biomes, Crimson Forest, Warped Forest",Uncommon,"Also Obtainable by giving Vulpix a
Fire Stone","Alolan form spawns in Snowy Taiga, Snow Forest"
#39,Jigglypuff,Cobblemon,"Plains, Cherry Grove, Flower Forest, Sunflower Plains",Common,Night,
#40,Wigglytuff,Cobblemon,"Plains, Cherry Grove, Flower Forest, Meadow, Sunflower Plains",Common,Night,
#41,Zubat,Cobblemon,"All Forest biomes, Swamp, Mangrove Swamp, Dark Forest, Deep Dark",Common,"Night, Weather Clear",
#42,Golbat,Cobblemon,"All Forest biomes,Swamp, Mangrove Swamp, Dark Forest, Deep Dark",Common,"Night, Weather Clear",
#43,Oddish,Cobblemon,"All Forest biomes, All Plains biomes, All Jungle biomes, Savanna",Common,Day,Valencian form spawns during the day in Savanna
#44,Gloom,Cobblemon,"All Forest biomes, All Plains biomes, Jungle, Savanna",Common,Day,Valencian form spawns during the day in Savanna
#45,Vileplume,Cobblemon,"All Forest biomes, All Plains biomes, Jungle, Savanna",Common,Night,Valencian form spawns during the night in Savanna
#46,Paras,Cobblemon,"Crimson Forest, Lush Caves, Mushroom Fields, Dark Forest",Common,,
#47,Parasect,Cobblemon,"Crimson Forest, Lush Caves, Mushroom Fields, Dark Forest",Common,,
#48,Venonat,Cobblemon,"Dark Forest, Swamp",Common,Night,
#49,Venomoth,Cobblemon,"Dark Forest, Swamp",Common,"Night, Weather clear",
#50,Diglett,Cobblemon,Overworld biomes except Deep Dark,Common,"Min Y=0
Weather Clear","Alolan form spawns in Overworld biomes
Max Y=0"
#51,Dugtrio,Cobblemon,Overworld biomes except Deep Dark,Common,"Min Y=0
Weather Clear","Alolan form spawns in Overworld biomes
Max Y=0"
#52,Meowth,Cobblemon,"Overworld biomes except Taiga, Desert, Badlands, Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains",Common,"Nigh, Weather clear","Alolan form spawns in Badlands, Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains

Galarian Form spawns in Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains"
#53,Persian,Cobblemon,Desert,Common,"Also in Structure:
Illager Outpost","Alolan form spawns in Badlands, Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains

Galarian Form spawns in Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains"
#54,Psyduck,Cobblemon,"Swamp, Mangrove Swamp, River, Plain, Savanna,
Dark Forest",Common,,
#55,Golduck,Cobblemon,"Swamp, Mangrove Swamp, River, Plain, Savanna,
Dark Forest",Common,,
#56,Mankey,Cobblemon,"Windswept Hills, Windswept gravelly Hills, Meadow, Stony Peaks, Jungle, Sparse Jungle",Common,Day,
#57,Primeape,Cobblemon,"Windswept Hills, Windswept gravelly Hills, Meadow, Stony Peaks, Jungle, Sparse Jungle",Common,Day,
#58,Growlithe,Cobblemon,All Overworld biomes except Desert,Common,,"Hisuian form spawns in Frozen Peaks,
Jagged Peaks,
Snowy Slopes,
Stony Peaks
(ATM x MSD)"
#59,Arcanine,Cobblemon,All Overworld biomes except Desert,Common,,"Hisuian form spawns in Frozen Peaks,
Jagged Peaks,
Snowy Slopes,
Stony Peaks
(ATM x MSD)"
#60,Poliwag,Cobblemon,"Swamp, Mangrove Swamp (Raining), Dark Forest, All Hills biomes, Mushroom Fields, Jungle, All Plains biomes, All Forest biomes,
Lush Caves",Common,Also by fishing,
#61,Poliwhirl,Cobblemon,"Swamp, Mangrove Swamp, Dark Forest, All Hills biomes, Mushroom Fields, Jungle, All Plains biomes, All Forest biomes,
Lush Caves",Common,Also by fishing,
#62,Poliwrath,Cobblemon,"Swamp, Mangrove Swamp, Dark Forest, All Hills biomes, Mushroom Fields, Jungle, All Plains biomes, All Forest biomes,
Lush Caves",Common,Also by fishing,
#63,Abra,Cobblemon,"All Hills biomes, Dark Forest",Uncommon,"During the Night, in Mansion Structures",
#64,Kadabra,Cobblemon,"All Hills biomes, Dark Forest",Rare,"During the Night, in Mansion Structures",
#65,Alakazam,Cobblemon,"All Hills biomes, Dark Forest",Rare,"During the Night, in Mansion Structures",
#66,Machop,Cobblemon,All Hills biomes,Common,Night,
#67,Machoke,Cobblemon,All Hills biomes,Common,Night,
#68,Machamp,Cobblemon,All Hills biomes,Common,Night,
#69,Bellsprout,Cobblemon,Jungle,Common,Day,
#70,Weepinbell,Cobblemon,Jungle,Common,Day,
#71,Victreebel,Cobblemon,Jungle,Common,Day,
#72,Tentacool,Cobblemon,All Ocean biomes,Common,Submerged or fishing,
#73,Tentacruel,Cobblemon,All Ocean biomes,Common,Submerged or fishing,
#74,Geodude,Cobblemon,All Overworld biomes except Deep Dark,Common,Caves,Alolan form spawns in all Overworld biomes near iron ores
#75,Graveler,Cobblemon,All Overworld biomes except Deep Dark,Common,Caves,Alolan form spawns in all Overworld biomes near iron ores
#76,Golem,Cobblemon,All Overworld biomes except Deep Dark,Common,Caves,Alolan form spawns in all Overworld biomes near iron ores
#77,Ponyta,Cobblemon,"All Plains biomes, All Savanna biomes, Nether Wastes",Uncommon,"Night, Weather clear","Galarian form spawns in Flower Forest, Meadow, Sunflower Plains, Cherry Grove, Dark Forest"
#78,Rapidash,Cobblemon,"All Plains biomes, All Savanna biomes, Nether Wastes",Uncommon,,"Galarian form spawns in Flower Forest, Meadow, Sunflower Plains, Cherry Grove, Dark Forest"
#79,Slowpoke,Cobblemon,"Beach, River",Common,Also by fishing,Galarian form spawns in Mushroom Fields
#80,Slowbro,Cobblemon,Beach,Common,Also by fishing,Galarian form spawns in Mushroom Fields
#81,Magnemite,Cobblemon,All Overworld biomes except Deep Dark,Common,"Near lightining rod, during a storm",
#82,Magneton,Cobblemon,All Overworld biomes except Deep Dark,Common,"Near lightining rod, during a storm",
#83,Farfetch’d,Cobblemon,All Overworld biomes,Common,Near Medicinal Leek,Galarian form spawns in All Forest biomes
#84,Doduo,Cobblemon,Savanna,Common,Day,
#85,Dodrio,Cobblemon,Savanna,Common,Day,
#86,Seel,Cobblemon,"Deep Frozen Ocean, Frozen Ocean, Cold Ocean",Common,Submerged or fishing,
#87,Dewgong,Cobblemon,"Deep Frozen Ocean, Frozen Ocean, Cold Ocean",Common,Submerged or fishing,
#88,Grimer,Cobblemon,"Swamp, Mangrove Swamp",Uncommon,,Alolan form spawns in Beach
#89,Muk,Cobblemon,"Swamp, Mangrove Swamp",Uncommon,,Alolan form spawns in Beach
#90,Shellder,Cobblemon,"Stony Shore, Deep Frozen Ocean, Frozen Ocean, Cold Ocean",Common,Seafloor or fishing,
#91,Cloyster,Cobblemon,"Stony Shore, Deep Frozen Ocean, Frozen Ocean, Cold Ocean",Common,Seafloor or fishing,
#92,Gastly,Cobblemon,"Dark Forest, All Nether biomes, Deep Dark",Common,,
#93,Haunter,Cobblemon,"Dark Forest, All Nether biomes, Deep Dark",Common,,
#94,Gengar,Cobblemon,"Dark Forest, All Nether biomes, Deep Dark",Uncommon,,
#95,Onix,Cobblemon,Basalt Deltas and in Caves,Uncommon,,
#96,Drowzee,Cobblemon,"All Overworld biomes except Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains, Snowy Slopes",Common,Night,
#97,Hypno,Cobblemon,"All Overworld biomes except Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains, Snowy Slopes",Common,Night,
#98,Krabby,Cobblemon,"Stony Shore, All Ocean biomes",Common,Also by fishing,
#99,Kingler,Cobblemon,"Stony Shore, All Ocean biomes",Common,Also by fishing,
#100,Voltorb,Cobblemon,All Overworld biomes,Common,Storm,Hisuian form spawns during the storm in the same biomes ear apricorns
#101,Electrode,Cobblemon,All Overworld biomes,Common,Storm,Hisuian form spawns during the storm in the same biomes near apricorns
